epoch,cls_loss,domain_loss,train_acc,val_loss,val_acc,target_acc_monitor,time_sec
1,0.12701531208799965,0.47858183406366656,0.9540401881145789,0.2556252662402888,0.9223333333333333,0.7041322314049587,198.64617538452148
2,0.09607025137994302,0.5236859491395699,0.9643722388485108,0.2531910447871584,0.9293333333333333,0.7297520661157024,216.74487900733948
3,0.08384025477014138,0.6436688668608614,0.9714977910788086,0.28767378251673653,0.912,0.7008264462809918,217.19842290878296
4,0.06805562130757524,0.66236274866224,0.9776970215191677,0.2503344375335922,0.9253333333333333,0.6727272727272727,217.71122980117798
5,0.06531898647778238,0.6803013971172304,0.9775545104745618,0.38829389219972654,0.898,0.6396694214876033,218.741619348526
6,0.060894765052187896,0.6858062991495228,0.9790508764429243,0.2445170393375059,0.9336666666666666,0.7066115702479339,219.47959733009338
7,0.05025822062242298,0.6848462201666591,0.9828274191249822,0.3773418094565471,0.907,0.6371900826446281,219.80958890914917
8,0.049850059489234995,0.6874616626866169,0.9831836967364971,0.28117745200296246,0.9246666666666666,0.6661157024793388,220.54432678222656
9,0.0449323377151133,0.6912586309639022,0.9853213624055864,0.29207290821957094,0.9266666666666666,0.6867768595041323,212.71696829795837
10,0.0370289049002075,0.6895505113786521,0.986888983896252,0.2937495303079486,0.929,0.6801652892561983,219.88249588012695
11,0.04025985076941217,0.6904666580602759,0.9865327062847371,0.26992158584102677,0.9353333333333333,0.6702479338842975,211.95734667778015
12,0.03491459065286165,0.6901300425235237,0.9883853498646145,0.3282490139423559,0.9213333333333333,0.6619834710743802,219.38306713104248
13,0.039975642046132104,0.689642899189645,0.9858201510617073,0.3607260572836579,0.9156666666666666,0.6495867768595042,212.90091371536255
14,0.03966728273011479,0.6895921267521284,0.9871740059854639,0.46751782223768534,0.901,0.6462809917355372,212.0351903438568
15,0.0383296714024824,0.6898862182185133,0.9863189397178281,0.30410711318196265,0.931,0.6677685950413224,212.2824158668518
