epoch,cls_loss,coral_loss,train_acc,val_loss,val_acc,target_acc_monitor,time_sec
1,0.1253629640409439,0.009639530344439508,0.9555365540829415,0.22899064551790554,0.93,0.7223140495867768,193.79646611213684
2,0.09709779066850575,0.007040491875195238,0.9660111158614793,0.2477138326021377,0.928,0.7041322314049587,180.080712556839
3,0.07977220389205743,0.005702312087813503,0.9705714692888698,0.27049705734228097,0.915,0.7123966942148761,179.2307641506195
4,0.07404923429735216,0.0051923032276793195,0.9739204788371099,0.2723243636280919,0.9273333333333333,0.7057851239669422,178.91099882125854
5,0.06018335184272715,0.004456370859250938,0.9786233433091065,0.3410168975889683,0.9066666666666666,0.6801652892561983,183.05539107322693
6,0.05301675670463695,0.004188718324405304,0.9819010973350435,0.25209721937666957,0.9316666666666666,0.7363636363636363,181.85453939437866
7,0.049484176352860086,0.003839316300743068,0.9830411856918911,0.4054577339825531,0.9026666666666666,0.6371900826446281,181.23783683776855
8,0.04364995137921477,0.0035919664335129597,0.9848225737494656,0.2752779849904279,0.9356666666666666,0.7537190082644628,182.14345383644104
9,0.04315316019302973,0.0033572482165677565,0.9861051731509192,0.2894879488220128,0.9276666666666666,0.7429752066115702,182.41016483306885
10,0.039383363318867805,0.0029629277201039983,0.9873165170300698,0.2907702383046659,0.928,0.7504132231404959,180.55789804458618
11,0.035583589721332506,0.0029223045135532474,0.9873165170300698,0.3082897069154036,0.9253333333333333,0.7380165289256199,183.04188776016235
12,0.04038126216395719,0.0027549079862497963,0.9863901952401312,0.34034142033817866,0.9126666666666666,0.7231404958677686,179.99399781227112
13,0.038362506719446,0.002728723119031195,0.9872452615077668,0.3277818738510056,0.9326666666666666,0.728099173553719,178.58715891838074
14,0.03428492735281907,0.0025499688229952697,0.9884566053869175,0.3592677760488586,0.9176666666666666,0.6966942148760331,178.98701786994934
15,0.03354177891637918,0.00252789638274759,0.9881003277754026,0.2889869950894111,0.9196666666666666,0.7123966942148761,179.80372071266174
