epoch,cls_loss,domain_loss,train_acc,val_loss,val_acc,target_acc_monitor,time_sec
1,0.1319707579007172,1.2971446200179564,0.9524725666239133,0.2611219623088837,0.9183333333333333,0.6818181818181818,189.53204774856567
2,0.09732837485433797,1.4016552486531124,0.9655835827276614,0.26729930851752093,0.9243333333333333,0.7206611570247934,177.69310474395752
3,0.08456317385669505,1.3925920755957986,0.9714977910788086,0.2862569426578314,0.9156666666666666,0.7041322314049587,179.40087747573853
4,0.0672932489830467,1.3905786244434664,0.976699444206926,0.2517516940937688,0.9296666666666666,0.6834710743801653,178.30069661140442
5,0.06473042967918932,1.3907226684410483,0.9776257659968648,0.39712629571657937,0.8996666666666666,0.6363636363636364,177.62583184242249
6,0.06325397900499066,1.3876347075980562,0.9785520877868035,0.24108699101791717,0.9323333333333333,0.6925619834710743,177.83983421325684
7,0.052617107521600835,1.3879746681980993,0.9814023086789226,0.4284229087356168,0.8886666666666667,0.6396694214876033,179.9279568195343
8,0.04735486972713396,1.3885554388681505,0.983112441214194,0.2786867767025251,0.932,0.7289256198347107,179.11359477043152
9,0.04888307726433007,1.3869874258233015,0.9825423970357703,0.29511876842792845,0.9276666666666666,0.6785123966942149,178.3855743408203
10,0.03674466296984261,1.388147837758591,0.9876727946415848,0.30749858741353575,0.923,0.6859504132231405,177.6219515800476
11,0.03923455173211023,1.3877832332499367,0.987031494940858,0.2900584328582045,0.935,0.6991735537190082,177.62467980384827
12,0.030693766660457436,1.3872415382195797,0.9890266495653414,0.3849988243568999,0.915,0.6570247933884298,178.40226531028748
13,0.04001470395820835,1.386924119591628,0.9853926179278895,0.3848547091287716,0.9163333333333333,0.6363636363636364,179.13744711875916
14,0.04549080790623091,1.3861546307797954,0.9843237850933447,0.45742902366265964,0.895,0.6330578512396694,178.78216814994812
15,0.03609022553954409,1.386070052188092,0.9876727946415848,0.34047372709106033,0.9236666666666666,0.6512396694214876,178.99740719795227
