epoch,train_loss,train_acc,val_loss,val_acc,time_sec
1,0.3426404230628952,0.8813595553655408,0.2907887294877631,0.9013333333333333,82.78253221511841
2,0.24920737900097892,0.9111443636881859,0.2732449653719862,0.9033333333333333,77.16011166572571
3,0.2299237291417401,0.9192674932307254,0.2322069669465224,0.922,75.13801217079163
4,0.20373326751501858,0.9276043893401739,0.30919391694851217,0.8976666666666666,73.64838695526123
5,0.19485328807626268,0.9320934872452615,0.2208524031986793,0.9273333333333333,72.84929704666138
6,0.1831028791269516,0.9345161750035628,0.2277487891614437,0.9206666666666666,74.21638321876526
7,0.17159821274436163,0.9380076955964087,0.23278639729817707,0.9206666666666666,74.61892557144165
8,0.16030095867070443,0.9419980048453755,0.23638143288095792,0.921,73.20903372764587
9,0.15409789573960245,0.9442781815590708,0.24295476596305768,0.9213333333333333,73.10833764076233
10,0.15022204776418097,0.9444919481259798,0.25527902240057787,0.9143333333333333,76.75810861587524
11,0.13340611206053057,0.9529713552800342,0.2639343802308043,0.9136666666666666,73.79174160957336
12,0.13492306353022898,0.9511187117001567,0.2991607972159982,0.907,74.20203900337219
13,0.12235207062278851,0.9559640872167593,0.25678166062695285,0.9156666666666666,74.05255818367004
14,0.12627304657641786,0.9561065982613652,0.24222200746213396,0.9233333333333333,75.62697720527649
15,0.11438123372263831,0.9593843522873022,0.310659854416425,0.903,75.65223145484924
